"filename", "language", "SCSS", "TypeScript", "HTML", "comment", "blank", "total"
"d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\close-dialog\close-dialog.component.html", "HTML", 0, 0, 10, 0, 1, 11
"d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\close-dialog\close-dialog.component.scss", "SCSS", 7, 0, 0, 0, 2, 9
"d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\close-dialog\close-dialog.component.spec.ts", "TypeScript", 0, 23, 0, 0, 6, 29
"d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\close-dialog\close-dialog.component.ts", "TypeScript", 0, 22, 0, 0, 4, 26
"d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\custom-mini-game.component.html", "HTML", 0, 0, 83, 0, 11, 94
"d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\custom-mini-game.component.scss", "SCSS", 251, 0, 0, 2, 44, 297
"d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\custom-mini-game.component.spec.ts", "TypeScript", 0, 26, 0, 0, 6, 32
"d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\custom-mini-game.component.ts", "TypeScript", 0, 283, 0, 9, 36, 328
"d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\services\shuffle.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\services\shuffle.service.ts", "TypeScript", 0, 23, 0, 1, 5, 29
"d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\services\sound.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\services\sound.service.ts", "TypeScript", 0, 41, 0, 0, 6, 47
"d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\start-dialog\start-dialog.component.html", "HTML", 0, 0, 64, 0, 3, 67
"d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\start-dialog\start-dialog.component.scss", "SCSS", 39, 0, 0, 0, 10, 49
"d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\start-dialog\start-dialog.component.spec.ts", "TypeScript", 0, 21, 0, 0, 6, 27
"d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\start-dialog\start-dialog.component.ts", "TypeScript", 0, 31, 0, 0, 7, 38
"Total", "-", 297, 494, 157, 12, 157, 1117